id,title,title_sanskrit,domain,subdomain,summary,dosha_type,seasonal_relevance,state_of_origin,gen_z_hook,authenticity_score,source_url,tags,health_benefits,ingredients,keywords
9bfb6a1f7c5f,Moringa — The Miracle Tree,Shigru (शिग्रु) — Moringa oleifera,Ayurveda,Nutritive Herbs,"Moringa oleifera is called 'Shigru' in Ayurveda and is considered a powerhouse of nutrition. It contains 7x Vitamin C of oranges, 4x Vitamin A of carrots, 4x calcium of milk, 3x potassium of bananas, and 2x protein of yogurt — making it one of the most nutrient-dense plants on Earth.","Vata, Kapha",All seasons,All India (native to sub-Himalayan region),7x Vitamin C. 4x Vitamin A. 4x Calcium. Grows in 3 months from seed. UN calls it the tree that fights malnutrition. 🌿,0.86,https://www.tkdl.res.in,5-minutes|for-women|immunity|kapha|kitchen-ingredients|rasayana|science-backed|skin|vata,Nutrition|Immunity|Diabetes|Cholesterol|Inflammation|Breast Milk|Skin|Bone Health,Moringa Leaves (fresh or dried)|Moringa Powder|Moringa Seeds,moringa|leaves|vitamin|powder|daily|reduces|cancer|oleifera|called|shigru
6be47578e829,Kadha — Immunity Decoction,Kasaya (काषाय),Home Remedies,Respiratory & Immunity,Kadha is a traditional herbal decoction — a water extract of multiple medicinal spices boiled together. It became world-famous during COVID-19 when AYUSH Ministry officially endorsed it. There are hundreds of regional variants — every grandmother has her own formula.,Kapha (especially),"Winter, Monsoon",All India (varies by region),AYUSH made it official in 2020. Dadi was making it in 1970. Same recipe. ☕,0.92,https://main.ayush.gov.in,5-minutes|ayush-approved|digestion|folk-story|home-remedy|immunity|kapha|who-validated,Immunity|Cold|Cough|Sore Throat|Respiratory|Fever|Digestion,Tulsi|Ginger|Black Pepper|Cinnamon|Clove|Turmeric|Honey,covid|water|ayush|ministry|officially|endorsed|ingredients|honey|kadha|herbal
0ebb5952adf9,Chyawanprash — World's Oldest Health Supplement,Chyavanprasha (च्यवनप्राश),Ayurveda,Rasayana Formulations,"Chyawanprash is the oldest known health supplement in the world, first described around 900 BCE in the Charaka Samhita. It is a jam-like preparation built on Amla as the primary base with 35-50 additional herbs, ghee, honey, and sesame oil. It is named after the sage Chyawan who reportedly regained his youth using it.",All doshas (tridoshic),"Winter, Monsoon",All India (classical formulation),Oldest health supplement on Earth. Indian. 2500 years old. AG1 Athletic Greens takes notes. 🍃,0.92,https://www.tkdl.res.in,5-minutes|digestion|energy|for-children|immunity|kitchen-ingredients|memory|rasayana|science-backed|skin|stress|tridoshic|who-validated,Immunity|Memory|Energy|Respiratory|Skin|Digestion|Metabolism|Longevity,Amla|Ashwagandha|Shatavari|Ghee|Honey|Sesame Oil|Long Pepper|Cardamom|Cinnamon|Clove,chyawanprash|honey|adults|morning|children|daily|oldest|known|health|supplement
5ce90b799069,Oil Pulling (Gandusha) — Ancient Oral Detox,Gandusha/Kavala (गण्डूष),Ayurveda,Dinacharya (Daily Practices),"Oil pulling — swishing sesame or coconut oil in the mouth for 10-20 minutes — is described in the Charaka Samhita as Gandusha. It is one of the most extensively scientifically validated Ayurvedic practices, with peer-reviewed evidence for dental health benefits comparable to chlorhexidine mouthwash.",Vata (especially),All seasons,All India (South India especially — sesame belt),Charcoal toothpaste: ₹500. Chlorhexidine mouthwash: ₹300. Sesame oil pull: ₹20. Same results. 🫧,0.86,https://www.tkdl.res.in,detox|kitchen-ingredients|pranayama|rasayana|skin|vata,Dental|Gum Health|Tooth Whitening|Bad Breath|Headache|Detox|Skin,Sesame Oil (traditional)|Coconut Oil (alternative),coconut|mouth|comparable|chlorhexidine|teeth|pulling|sesame|minutes|health|mouthwash
2b5a2cc4cb33,Nasya — Nasal Oiling,Nasya (नस्य),Ayurveda,Dinacharya (Daily Practices),Nasya is the practice of administering medicated oil or ghee into the nostrils. The nose is considered the 'gateway to the brain' in Ayurveda. Modern understanding of the nose-brain connection through the olfactory nerve and nasal mucosa validates many of its claimed benefits.,Vata (especially),"Winter, Autumn",All India (classical Ayurvedic practice),Nasal drug delivery bypasses the blood-brain barrier. Ayurveda used this route 3000 years ago. 👃,0.76,https://www.tkdl.res.in,5-minutes|kitchen-ingredients|memory|rasayana|sleep|vata,Headache|Migraine|Nasal Congestion|Sinus|Dry Nasal Passages|Memory|Insomnia,Sesame Oil|Ghee (cow ghee)|Anu Taila (classical formulation),nasal|brain|olfactory|nerve|mucosa|drops|sesame|protective|nasya|administering
a927a5cdbcf9,Haldi Milk for Wounds — Kitchen First Aid,Haridra Kshira,Home Remedies,Wound Healing,"Applying turmeric paste to wounds is one of the oldest first-aid practices in India. Modern research confirms turmeric promotes collagen synthesis, has anti-inflammatory and antibacterial effects, and accelerates wound healing — properties now being exploited by the pharmaceutical industry in wound dressings.",Pitta (anti-inflammatory),All seasons,All India,Johnson & Johnson now makes turmeric wound dressings. Your kitchen was the original. 🩹,0.76,https://www.tkdl.res.in,5-minutes|home-remedy|kitchen-ingredients|pitta|science-backed|skin,Wounds|Cuts|Burns|Skin Infections|Ulcers|Bruises,Turmeric Powder|Coconut Oil|Honey|Ghee,turmeric|wound|paste|collagen|wounds|synthesis|antibacterial|accelerates|healing|minor
926d29f6cf47,Ginger Honey for Sore Throat and Nausea,Ardraka (आर्द्रक) + Madhu (मधु),Home Remedies,Digestive & Respiratory,"Fresh ginger with raw honey is one of the most scientifically validated simple home remedies. Ginger contains gingerols and shogaols — potent anti-nausea and anti-inflammatory compounds. Raw honey adds antimicrobial H2O2 and propolis. Together, they form a powerful combination for sore throats, nausea, cold, and digestion.","Vata, Kapha","Winter, Monsoon",All India (ginger from Kerala and NE India),"Morning sickness drug sales: billions. 1g of ginger: same efficacy, zero money. 🫚",0.94,https://www.tkdl.res.in,5-minutes|digestion|for-women|home-remedy|kapha|kitchen-ingredients|science-backed|vata,Nausea|Sore Throat|Cold|Digestion|Anti-inflammatory|Menstrual Pain,Fresh Ginger Root|Raw Honey|Lemon|Black Pepper,ginger|honey|nausea|fresh|inflammatory|slice|juice|throat|scientifically|validated
06fab94ec2c3,Mustard Oil Massage — Cold and Chest Rub,Sarshapa Taila (सर्षप तैल),Home Remedies,Respiratory,"Mustard oil heated with garlic and applied to chest, back, and feet is one of the most common cold remedies across North India. Its erucic acid and allyl isothiocyanate have warming, antibacterial, and decongestant properties. Applied to the feet with garlic at night, it was the original 'vapour rub'.","Vata, Kapha",Winter,North India (Punjabi/Rajasthani tradition especially),Vicks VapoRub was invented in 1894. The garlic-mustard oil trick: 3000 BCE. Your dadi was right. 👃,0.84,https://www.tkdl.res.in,home-remedy|kapha|kitchen-ingredients|science-backed|vata,Cold|Congestion|Cough|Chest Tightness|Muscle Aches|Warming,Mustard Oil|Garlic|Ajwain (Carom Seeds)|Camphor,garlic|mustard|chest|applied|allyl|isothiocyanate|apply|congestion|heated|common
7eb6cc36c39f,Surya Namaskar — Complete Body Workout,Surya Namaskar (सूर्य नमस्कार),Yoga,Sequences,"Surya Namaskar (Sun Salutation) is a 12-step yoga sequence performed at sunrise that activates every major muscle group, joint, and organ system. 12 rounds = 288 postures in ~15 minutes. It combines strength, flexibility, cardiovascular fitness, and breathwork in one complete practice.",All doshas,All seasons,All India,Free HIIT + flexibility + meditation in 15 minutes. No gym required. Ancient. 🌅,0.78,https://www.yogamdniy.nic.in,5-minutes|anxiety|digestion|pranayama|skin|stress|tridoshic|yoga,Flexibility|Strength|Cardiovascular|Metabolism|Posture|Digestion|Stress|Skin,,exhale|rounds|inhale|steps|flexibility|complete|palms|chest|forward|floor
03a9398b2dbc,Kapalbhati Pranayama — Skull Shining Breath,Kapalbhati (कपालभाति),Yoga,Pranayama (Breath Practices),"Kapalbhati is a powerful active exhalation practice from Hatha Yoga. 'Kapal' means skull, 'bhati' means shining — regular practice makes the face luminous. Modern research confirms it activates core muscles, increases metabolic rate, clears airways, and stimulates the digestive organs through abdominal pressure changes.",Kapha (especially beneficial),All seasons,,"Free metabolism hack. No Ozempic needed. Just breathe wrong. Wait, breathe RIGHT. 💨",0.72,https://www.yogamdniy.nic.in,5-minutes|digestion|energy|kapha|skin|stress|yoga,Digestion|Weight|Metabolism|Respiratory|Energy|Skin|Sinuses,,increases|means|activates|metabolic|abdominal|inhale|abdomen|pumps|minute|weeks
40a7328ed523,Anulom Vilom — Alternate Nostril Breathing,Nadi Shodhana Pranayama (नाड़ी शोधन),Yoga,Pranayama (Breath Practices),"Alternate nostril breathing (Nadi Shodhana) balances the left (Ida — lunar) and right (Pingala — solar) nadis, corresponding to the parasympathetic and sympathetic nervous systems. It is the most studied yoga breathing technique with robust evidence for blood pressure reduction, anxiety relief, and cognitive enhancement.",All doshas,All seasons,All India (Yoga tradition),Box breathing for Navy SEALs costs $2000 in training. This is the same thing. Free. For 3000 years. 🫁,0.72,https://www.yogamdniy.nic.in,anxiety|memory|pranayama|sleep|stress|tridoshic|yoga,Blood Pressure|Stress|Anxiety|Sleep|Asthma|Respiratory|Heart,,right|nostril|counts|exhale|close|breathing|thumb|inhale|retain|blood
b8da643c10d5,Dinacharya — Ayurvedic Daily Routine,Dinacharya (दिनचर्या),Ayurveda,Lifestyle Medicine,"Dinacharya is the complete Ayurvedic framework for an optimal daily routine. It syncs human biology with the sun's rhythms across three dosha periods: Kapha (6-10), Pitta (10-2), Vata (2-6) both AM and PM. Modern chronobiology is now confirming what Ayurveda described 3000 years ago about circadian rhythm and health.",All doshas,All seasons (adjusted per season),All India (classical Ayurvedic practice),Huberman Lab protocol 2024 = Charaka Samhita 600 BCE. We just forgot it for 200 years. 🕰️,0.82,https://www.tkdl.res.in,5-minutes|digestion|energy|immunity|kapha|kitchen-ingredients|pitta|rasayana|skin|sleep|stress|tridoshic|vata,Digestion|Sleep|Energy|Skin|Dental|Mental Health|Immunity|Weight,Sesame Oil|Neem Twig|Copper Tongue Scraper|Warm Water,pitta|natural|tongue|dinacharya|ayurvedic|biology|kapha|circadian|health|brahma
52cc70d63802,Yoga Nidra — Sleep of the Yogis,Yoga Nidra (योग निद्रा),Yoga,Meditation & Deep Relaxation,"Yoga Nidra is a state of conscious sleep — aware but completely relaxed, suspended between waking and sleeping. One hour of Yoga Nidra is said to equal 4 hours of deep sleep. It is the only practice proven to produce delta brain waves while the practitioner remains conscious.","Vata, Pitta",All seasons,"All India (Swami Satyananda Saraswati modernised, Bihar School of Yoga)",The US Army uses this for PTSD. The yoga masters invented it 4000 years ago. 😴,0.64,https://www.yogamdniy.nic.in,5-minutes|anxiety|energy|memory|pitta|sleep|vata|yoga,Sleep|Anxiety|PTSD|Chronic Pain|Insomnia|Fatigue|Hypertension,,nidra|sleep|state|conscious|delta|brain|waves|guided|awareness|aware
ab1fa34d5a97,Bhramari Pranayama — Humming Bee Breath,Bhramari (भ्रामरी) — Humming Breath,Yoga,Pranayama (Breath Practices),"Bhramari involves exhaling with a humming sound (like a bee) while plugging ears and eyes with fingers. The vibration activates the vagus nerve, instantly calming the nervous system. It is the fastest-acting pranayama for acute anxiety and panic.","Pitta, Vata",All seasons,All India,Having a panic attack? 3 rounds of Bhramari. It works in under 2 minutes. Ancient neuroscience. 🐝,0.64,https://www.yogamdniy.nic.in,5-minutes|anxiety|memory|pitta|pranayama|sleep|vata|yoga,Anxiety|Blood Pressure|Migraine|Insomnia|Thyroid,,fingers|vibration|humming|sound|plugging|nerve|acute|anxiety|gently|inhale
9772cf562d13,Sattvic Diet — Yogic Eating System,Sattvic Aahar (सात्त्विक आहार),Food & Culture,Ayurvedic Diet,"Ayurveda classifies food into three categories based on their effect on mind and body: Sattvic (pure, light, promotes clarity), Rajasic (stimulating, activating), and Tamasic (heavy, dulling, promoting inertia). This 5000-year-old food classification system remarkably aligns with modern nutritional science on gut-brain connection and neuroinflammation.",All doshas (promotes sattva in all),All seasons,All India (Vedic tradition),The gut-brain axis paper won a Nobel. Ayurveda wrote about Sattvic food 5000 years ago. 🥗,0.76,https://www.tkdl.res.in,digestion|energy|immunity|meditation|memory|skin|sleep|stress|tridoshic,Mental Clarity|Digestion|Energy|Mood|Sleep|Skin|Immunity,Fruits|Vegetables|Whole Grains|Legumes|Dairy|Nuts|Seeds|Honey|Jaggery,sattvic|tamasic|foods|avoid|processed|rajasic|stimulating|aligns|brain|neuroinflammation
ffeab234070c,Fermented Foods of India — Probiotic Heritage,Khameer/Kanjika (खमीर),Food & Culture,Traditional Preservation & Gut Health,"India has one of the world's richest traditions of fermented foods — idli, dosa, dhokla, kanji, lassi, chaas, pickle, koozh, ambali, and dozens more regional variants. These 5000-year-old fermentation techniques naturally produce probiotics, increase nutrient bioavailability, and support gut microbiome diversity.","Pitta, Kapha (balanced in moderation)","Summer, Monsoon",All India (each region has unique fermented foods),You're paying ₹400 for Yakult. Your dadi was making kanji at home since birth. 🫙,0.76,https://www.indianculture.gov.in,digestion|immunity|kapha|pitta,Gut Health|Immunity|Digestion|Nutrition|Mental Health|Diabetes|Cholesterol,Rice|Urad Dal|Mustard|Fenugreek|Beetroot|Carrots|Yogurt|Buttermilk,fermentation|fermented|diversity|probiotic|yogurt|kanji|lassi|chaas|pickle|koozh
3328fe33cc5e,Haldi Ceremony (Ubtan) — Pre-Wedding Skin Ritual,Pithi / Ubtan (उबटन),Food & Culture,Beauty & Skin Rituals,"The Haldi ceremony involves applying a paste of turmeric, sandalwood, rose water, and chickpea flour to the bride (and groom) before the wedding. This ancient ritual was simultaneously a spiritual purification, skin brightening treatment, antimicrobial protection, and stress relief ceremony before the biggest day of life.",Pitta,All seasons,"All India (especially North India, Punjab, Rajasthan)",₹2000 brightening serum vs. ₹50 haldi ubtan. Both inhibit melanin. One has a 5000-year track record. ✨,0.76,https://www.tkdl.res.in,for-elderly|home-remedy|kitchen-ingredients|pitta|science-backed|skin|stress,Skin Brightening|Acne|Tan Removal|Exfoliation|Anti-aging,Turmeric|Sandalwood Powder|Rose Water|Chickpea Flour (Besan)|Milk|Honey|Saffron|Neem,turmeric|water|paste|sandalwood|besan|ceremony|brightening|removes|daily|inhibits
9a5846e34452,Jal Neti — Nasal Irrigation,Jala Neti (जल नेति),Yoga,Shatkarma (Cleansing Practices),Jal Neti involves pouring warm salt water through one nostril and letting it flow out the other using a Neti pot. It is one of the six Shatkarmas (purification practices) of Hatha Yoga. The FDA in the USA has officially recommended nasal irrigation for sinus congestion as a drug-free alternative.,Kapha,"Monsoon, Autumn (allergy season)",All India (Yoga tradition),FDA-approved nasal irrigation. Hatha Yoga Pradipika: 5000 BCE. They agree. 💧,0.84,https://www.yogamdniy.nic.in,kapha|kitchen-ingredients|yoga|zero-cost,Sinusitis|Allergies|Congestion|Cold Prevention|Snoring|Headache|Asthma,Warm Water|Non-Iodised Salt|Neti Pot,water|nasal|nostril|irrigation|saline|sinusitis|officially|right|reduces|involves
8f5f5ff21c4b,The Legend of Dhanvantari — God of Medicine,Dhanvantari (धन्वन्तरी),Oral History,Origin Stories,Dhanvantari is the Hindu god of medicine who emerged from the churning of the cosmic ocean (Samudra Manthan) holding the pot of Amrita (immortality nectar). He is the divine founder of Ayurveda. The Dhanvantari Trayodashi festival (Dhanteras) celebrates his birthday — the day before Diwali.,,,All India (Vedic tradition),The 5000-year-old origin story of an entire medical system. Told by word of mouth. Never patented. 🌊,0.14,https://www.indianculture.gov.in,festival|who-validated,Cultural Heritage|Meaning-Making|Connection to Ancestry,,dhanvantari|hindu|medicine|emerged|churning|cosmic|ocean|samudra|manthan|holding
fae4a4362e5d,The Panchatantra — Original Management Philosophy,Panchatantra (पञ्चतन्त्र),Oral History,Ancient Wisdom Literature,"The Panchatantra, composed around 300 BCE by the scholar Vishnu Sharma, is the world's most widely translated non-religious text — translated into 50+ languages. It uses animal fables to teach five tantra (principles): friends and allies, enemies, war and peace, loss of gains, and rash action.",,,Kashmir/Central India (Amarasakti's kingdom),"Harvard Business School case studies: 1908. Panchatantra: 300 BCE. Same lessons. The deer, the net, the allies.",0.06,https://www.indianculture.gov.in,,,,translated|panchatantra|composed|scholar|vishnu|sharma|world|widely|religious|languages
7b16e913835e,Kolam — Tamil Living Geometry,Kolam (கோலம்) / Rangoli,Arts & Culture,Sacred Geometry & Daily Art,"Kolam is a Tamil tradition of drawing geometric patterns at the threshold of homes each morning using rice flour. It is simultaneously spiritual practice, spatial reasoning exercise, mathematical exploration, and daily meditation. Computer scientists have studied Kolam patterns as equivalent to Lindenmayer systems (L-systems) — formal grammars used in computational biology.",,,"Tamil Nadu, Kerala, Karnataka, Andhra Pradesh",CS researchers found that Kolam patterns contain the same mathematical structure as computer fractals. Tamil women were doing computational geometry every morning. 🌺,0.06,https://www.indianculture.gov.in,meditation,,,kolam|patterns|systems|tamil|tradition|drawing|geometric|threshold|homes|morning
1b3d4598ff9d,Jeevamrit — Living Elixir for Soil,Jeevamrit (जीवामृत),Sustainable Farming,Zero Budget Natural Farming,"Jeevamrit is the cornerstone of Subhash Palekar's Zero Budget Natural Farming (ZBNF). It is a fermented microbial inoculant made from desi cow dung, cow urine, jaggery, pulse flour, and native soil. Applied every 15 days, it dramatically increases soil microbial biomass, making nutrients bioavailable without chemical inputs.",,"Apply year-round, every 15 days","Vidarbha region (Subhash Palekar's origin), now nationwide ZBNF movement",Silicon Valley spends billions on soil health tech. This costs ₹100 per acre and you need a cow. 🐄,0.68,https://zerobudgetfarming.com,5-minutes|zero-cost,Soil Microbial Diversity|Crop Yield|Water Retention|Nutrient Availability,Desi Cow Dung (fresh)|Desi Cow Urine|Jaggery (raw)|Pulse Flour (Besan)|Native Soil|Water,microbial|farming|increases|chemical|jaggery|water|urine|pulse|flour|native
ea166da65ab9,Bijamrit — Seed Treatment for Disease Resistance,Bijamrit (बीजामृत),Sustainable Farming,Zero Budget Natural Farming,Bijamrit is the companion to Jeevamrit — a seed treatment that coats seeds before planting with a protective microbial layer. It dramatically reduces seed-borne disease while activating beneficial soil microbes from the first moment of germination.,,,"Vidarbha, Maharashtra",Monsanto sells seed treatment coatings for $400/kg. This costs ₹5. Same function. 🌱,0.63,https://zerobudgetfarming.com,5-minutes|kitchen-ingredients|zero-cost,Seed Germination|Disease Resistance|Seedling Vigour|Root Development,Desi Cow Dung (fresh)|Desi Cow Urine|Water|Lime|Native Soil,seeds|bijamrit|reduces|borne|disease|germination|companion|jeevamrit|treatment|coats
1933deff638d,Aryabhata and the Invention of Zero,Shunya (शून्य) — The Void that Changed Mathematics,Vedic Mathematics,Number Theory,"The concept of zero as a number (not just a placeholder) was invented in India. Brahmagupta (7th century CE) first formalised the arithmetic of zero in Brahmasphutasiddhanta. Without zero, modern computing, cryptography, calculus, and physics would be impossible. This is arguably India's greatest intellectual gift to humanity.",,,"India (Aryabhata from Patliputra, Bihar)",No zero = no computers. No zero = no internet. No zero = you're reading this on paper. Thank India. 0️⃣,0.06,https://www.indianculture.gov.in,,,,concept|number|placeholder|invented|brahmagupta|century|first|formalised|arithmetic|brahmasphutasiddhanta
